id,category,label,notice,word_count,char_length,clean_notice
1,C,Regulatory Compliance,"FINANCIAL REPORTING NON-COMPLIANCE NOTICE TO: Global Payment Solutions FROM: Anti-Money Laundering Authority DATE: March 3, 2024 Anti-Money Laundering Authority has determined that Global Payment Solutions has failed to file its quarterly financial disclosure reports as required under Section 7.1 of the Electronic Communications Code 2017. Reports for the periods ending Q2 2024 remain outstanding as of this date. This constitutes a violation of mandatory reporting obligations. Global Payment Solutions is directed to file all outstanding reports within 10 business days. A late filing fee of $15,000 per report will be assessed. Continued non-compliance will result in suspension of Global Payment Solutions's operating license and referral for criminal investigation under applicable statutes.",111,799,financial reporting non compliance notice global payment solution anti money laundering authority date march anti money laundering authority determined global payment solution failed file quarterly financial disclosure report required section electronic communication code report period ending q remain outstanding date constitutes violation mandatory reporting obligation global payment solution directed file outstanding report within business day late filing fee per report assessed continued non compliance result suspension global payment solution operating license referral criminal investigation applicable statute
2,A,Contract Dispute,"NOTICE OF CONTRACT TERMINATION FOR CAUSE TO: Coastal Logistics Partners FROM: Meridian Freight Services DATE: August 19, 2024 This notice serves to inform Coastal Logistics Partners that Meridian Freight Services is exercising its right to terminate the Distribution Agreement dated October 1, 2023 for cause, pursuant to Section 7.1. The grounds for termination include repeated failure to meet minimum purchase commitments and unauthorized sub-distribution to third parties. Meridian Freight Services demands return of all proprietary materials within 14 days and full accounting of sales records for the period Q2 2024. All outstanding payments of $75,000 remain due and payable immediately.",100,694,notice contract termination cause coastal logistics partner meridian freight service date august notice serf inform coastal logistics partner meridian freight service exercising right terminate distribution agreement dated october cause pursuant section ground termination include repeated failure meet minimum purchase commitment unauthorized sub distribution third party meridian freight service demand return proprietary material within day full accounting sale record period q outstanding payment remain due payable immediately
3,B,Intellectual Property Claim,"NOTICE OF PATENT LICENSING OBLIGATION TO: SynthLab Solutions FROM: Quantum IP Holdings DATE: April 7, 2025 Quantum IP Holdings holds an essential patent portfolio covering standards implemented in SynthLab Solutions's product 'VisionAI Toolkit'. As a participant in the USB 4.0 standard, Quantum IP Holdings has committed to licensing these patents on FRAND (Fair, Reasonable, and Non-Discriminatory) terms. SynthLab Solutions's commercial deployment of technology implementing this standard without obtaining a license from Quantum IP Holdings constitutes patent infringement. Quantum IP Holdings invites SynthLab Solutions to enter into good-faith licensing negotiations within 7 days. Failure to respond will be taken as a refusal to negotiate in good faith, and Quantum IP Holdings will pursue all appropriate legal and regulatory remedies.",118,844,notice patent licensing obligation synthlab solution quantum ip holding date april quantum ip holding hold essential patent portfolio covering standard implemented synthlab solution product visionai toolkit participant usb standard quantum ip holding committed licensing patent frand fair reasonable non discriminatory term synthlab solution commercial deployment technology implementing standard without obtaining license quantum ip holding constitutes patent infringement quantum ip holding invite synthlab solution enter good faith licensing negotiation within day failure respond taken refusal negotiate good faith quantum ip holding pursue appropriate legal regulatory remedy
4,A,Contract Dispute,"BREACH OF CONFIDENTIALITY NOTICE TO: Horizon Enterprises Group FROM: Cascade Software Inc. DATE: October 14, 2024 This correspondence constitutes formal notice under Section 3.4 of the Mutual Non-Disclosure Agreement dated February 14, 2023. It has come to Cascade Software Inc.'s attention that Horizon Enterprises Group has disclosed proprietary business information — including pricing structures, client lists, and product roadmaps — to unauthorized third parties. Such disclosure constitutes a material breach entitling Cascade Software Inc. to seek injunctive relief and damages exceeding $25,000. Horizon Enterprises Group must confirm in writing within 10 days all disclosures made, all recipients of such information, and steps taken to retrieve or contain the disclosed materials.",110,790,breach confidentiality notice horizon enterprise group cascade software inc date october correspondence constitutes formal notice section mutual non disclosure agreement dated february come cascade software inc attention horizon enterprise group disclosed proprietary business information including pricing structure client list product roadmaps unauthorized third party disclosure constitutes material breach entitling cascade software inc seek injunctive relief damage exceeding horizon enterprise group must confirm writing within day disclosure made recipient information step taken retrieve contain disclosed material
5,C,Regulatory Compliance,"TELECOMMUNICATIONS LICENCE COMPLIANCE NOTICE TO: Pinnacle Lending Solutions Inc. FROM: Office of Financial Regulation DATE: May 16, 2025 Office of Financial Regulation writes to advise that Pinnacle Lending Solutions Inc.'s network operations are in breach of Licence Condition 9.3 of its telecommunications operating licence, granted under the Electronic Communications Code 2017. Specifically, Pinnacle Lending Solutions Inc. has failed to meet mandatory service availability targets for 50 consecutive months and has not implemented required network redundancy measures. Pinnacle Lending Solutions Inc. must submit a detailed remediation plan and timeline within 14 days. Continued breach beyond that date will result in formal enforcement proceedings, including imposition of financial penalties calculated at 10% of relevant turnover, up to a maximum of $350,000.",119,868,telecommunication licence compliance notice pinnacle lending solution inc office financial regulation date may office financial regulation writes advise pinnacle lending solution inc network operation breach licence condition telecommunication operating licence granted electronic communication code specifically pinnacle lending solution inc failed meet mandatory service availability target consecutive month implemented required network redundancy measure pinnacle lending solution inc must submit detailed remediation plan timeline within day continued breach beyond date result formal enforcement proceeding including imposition financial penalty calculated relevant turnover maximum
6,B,Intellectual Property Claim,"NOTICE OF SOFTWARE LICENSE VIOLATION TO: ContentStream Media FROM: Artisan Copyright Trust DATE: March 25, 2025 Artisan Copyright Trust develops and owns the software 'AutoScale Engine', licensed under a commercial End User License Agreement (EULA). An audit has confirmed that ContentStream Media has deployed Artisan Copyright Trust's software on 2500 servers without valid licenses, constituting copyright infringement and a material breach of the EULA. Unlicensed use is estimated to have caused Artisan Copyright Trust revenue losses of $75,000. ContentStream Media is directed to immediately cease unlicensed use, purchase all required licenses, and remit retroactive license fees within 21 days. Non-compliance will result in legal proceedings and referral to the Software Alliance for enforcement.",113,805,notice software license violation contentstream medium artisan copyright trust date march artisan copyright trust develops owns software autoscale engine licensed commercial end user license agreement eula audit confirmed contentstream medium deployed artisan copyright trust software server without valid license constituting copyright infringement material breach eula unlicensed use estimated caused artisan copyright trust revenue loss contentstream medium directed immediately cease unlicensed use purchase required license remit retroactive license fee within day non compliance result legal proceeding referral software alliance enforcement
7,C,Regulatory Compliance,"CONSUMER PROTECTION COMPLIANCE NOTICE TO: FastBuy E-Commerce Ltd. FROM: Consumer Protection Bureau DATE: June 10, 2024 Following a review of consumer complaints received between Q2 2023, Consumer Protection Bureau has determined that FastBuy E-Commerce Ltd.'s marketing practices constitute violations of the Consumer Financial Protection Act (CFPA). Specifically, FastBuy E-Commerce Ltd. has engaged in misleading pricing representations and failed to honor statutory refund rights. You are directed to revise all non-compliant advertising materials and implement a compliant refund process within 10 days. Full compliance reports must be submitted to this office. Failure to comply will result in public enforcement action, mandatory consumer redress, and fines of up to $500,000.",108,782,consumer protection compliance notice fastbuy e commerce ltd consumer protection bureau date june following review consumer complaint received q consumer protection bureau determined fastbuy e commerce ltd marketing practice constitute violation consumer financial protection act cfpa specifically fastbuy e commerce ltd engaged misleading pricing representation failed honor statutory refund right directed revise non compliant advertising material implement compliant refund process within day full compliance report must submitted office failure comply result public enforcement action mandatory consumer redress fine
8,C,Regulatory Compliance,"ANTI-MONEY LAUNDERING COMPLIANCE DIRECTIVE TO: Global Payment Solutions FROM: Anti-Money Laundering Authority DATE: January 9, 2025 Pursuant to the Clean Air Act, 42 U.S.C. § 7401 et seq., Anti-Money Laundering Authority has identified significant deficiencies in Global Payment Solutions's anti-money laundering (AML) controls. An audit conducted on May 5, 2023 found that Global Payment Solutions failed to conduct adequate customer due diligence on 45000 high-risk accounts and did not file required Suspicious Activity Reports (SARs). These deficiencies constitute serious regulatory violations. Global Payment Solutions must implement enhanced AML procedures and submit a remediation plan within 10 days. Failure to remediate will result in regulatory sanctions, including fines of up to $15,000 and potential license revocation.",115,834,anti money laundering compliance directive global payment solution anti money laundering authority date january pursuant clean air act u c et seq anti money laundering authority identified significant deficiency global payment solution anti money laundering aml control audit conducted may found global payment solution failed conduct adequate customer due diligence high risk account file required suspicious activity report sars deficiency constitute serious regulatory violation global payment solution must implement enhanced aml procedure submit remediation plan within day failure remediate result regulatory sanction including fine potential license revocation
9,B,Intellectual Property Claim,"NOTICE OF SOFTWARE LICENSE VIOLATION TO: OpenSource Dynamics Ltd. FROM: InnovateTech IP DATE: November 27, 2024 InnovateTech IP develops and owns the software 'DataStream Analyzer', licensed under a commercial End User License Agreement (EULA). An audit has confirmed that OpenSource Dynamics Ltd. has deployed InnovateTech IP's software on 50 servers without valid licenses, constituting copyright infringement and a material breach of the EULA. Unlicensed use is estimated to have caused InnovateTech IP revenue losses of $15,000. OpenSource Dynamics Ltd. is directed to immediately cease unlicensed use, purchase all required licenses, and remit retroactive license fees within 30 days. Non-compliance will result in legal proceedings and referral to the Software Alliance for enforcement.",112,792,notice software license violation opensource dynamic ltd innovatetech ip date november innovatetech ip develops owns software datastream analyzer licensed commercial end user license agreement eula audit confirmed opensource dynamic ltd deployed innovatetech ip software server without valid license constituting copyright infringement material breach eula unlicensed use estimated caused innovatetech ip revenue loss opensource dynamic ltd directed immediately cease unlicensed use purchase required license remit retroactive license fee within day non compliance result legal proceeding referral software alliance enforcement
10,C,Regulatory Compliance,"CONSUMER PROTECTION COMPLIANCE NOTICE TO: StreamLine Networks Ltd. FROM: Telecommunications Regulatory Office DATE: April 7, 2025 Following a review of consumer complaints received between Q2 2024, Telecommunications Regulatory Office has determined that StreamLine Networks Ltd.'s marketing practices constitute violations of the Food Safety Modernization Act (FSMA). Specifically, StreamLine Networks Ltd. has engaged in misleading pricing representations and failed to honor statutory refund rights. You are directed to revise all non-compliant advertising materials and implement a compliant refund process within 10 days. Full compliance reports must be submitted to this office. Failure to comply will result in public enforcement action, mandatory consumer redress, and fines of up to $150,000.",108,801,consumer protection compliance notice streamline network ltd telecommunication regulatory office date april following review consumer complaint received q telecommunication regulatory office determined streamline network ltd marketing practice constitute violation food safety modernization act fsma specifically streamline network ltd engaged misleading pricing representation failed honor statutory refund right directed revise non compliant advertising material implement compliant refund process within day full compliance report must submitted office failure comply result public enforcement action mandatory consumer redress fine
